"text","structure","emojis","emotion"
"this girl in the background shares my feelings of mr. harper when he speaks . tt.token tt.token","DT NN IN DT NN VBZ PRP$ NNS IN NNP NNP WRB PRP VBZ . HT HT","","2.0"
"throwback thursday tt.token tt.token tt.token tt.token tt.token url","NNP NNP HT HT HT HT HT URL","","2.0"
"had another great time with usr tt.token","VBD DT JJ NN IN USR HT","","3.5"
"canada among most vulnerable large economies . quick , rearrange deckchairs . tt.token tt.token url","NNP IN JJS JJ JJ NNS . RB , VB NNS . HT HT URL","","-5.0"
"jason kenny redefines `` deficit `` next gives opinion on `` unicorns and leprechauns `` tt.token tt.token","NNP NNP NNP `` NN `` JJ VBZ NN IN `` NNP CC NNS `` HT HT","","2.0"
"today is tt.token ? oh , great day to remind usr that he is good to go ! tt.token tt.token","NN VBZ HT . UH , JJ NN TO VB USR IN PRP VBZ JJ TO VB . HT HT","","5.0"
"tt.token : who in their right mind hires a disbarred lawyer ? tt.token tt.token","HT : WP IN PRP$ RB NN VBZ DT JJ NN . HT HT","","-1.5"
"wonderful morning at mon sheong meeting seniors who want tt.token . thx martin for the tour ! tt.token tt.token tt.token","JJ NN IN NNP NNP NN NNS WP VBP HT . UH NNP IN DT NN . HT HT HT","","3.5"
"too good not to share ! brodie , giorno , wright , novack , & now for your political meme pleasure ... tt.token tt.token","RB JJ RB TO VB . NNP , NNP , NNP , NNP , CC RB IN PRP$ JJ NN NN : HT HT","","2.0"
"another day , another sign going up - massive support for usr in mississauga centre ! tt.token tt.token","DT NN , DT NN VBG RP : JJ NN IN USR IN NNP NNP . HT HT","","3.5"
"some of the tt.token candidates here in tt.token : usr usr usr & usr ! tt.token","DT IN DT HT NNS RB IN HT : USR USR USR CC USR . HT","","2.0"
"usr usr seems that your assessment about tt.token not supporting tt.token is shared tt.token","USR USR VBZ IN PRP$ NN IN HT RB VBG HT VBZ VBN HT","","-1.5"
"yesterday : in tt.token supporting our brilliant tt.token candidate usr | tt.token tt.token tt.token tt.token","NN : IN HT VBG PRP$ JJ HT NN USR : HT HT HT HT","","-1.5"
"usr has tt.token me . please , rt so he doesn't miss out on the fun . tt.token tt.token tt.token tt.token tt.token","USR VBZ HT PRP . UH , RT IN PRP VBP VB RP IN DT NN . HT HT HT HT HT","","-1.5"
"cpc candidate gabriel purcarus , when i asked him about his deleted fb page . tt.token tt.token","NNP NN NNP NNP , WRB PRP VBD PRP IN PRP$ VBD NNP NN . HT HT","","-1.5"
"so what happened in 2007 ? usr usr usr usr","UH WP VBN IN CD . USR USR USR USR","","-1.5"
"i hope tt.token gets it this time around . oust usr & tt.token in tt.token ! tt.token tt.token","PRP VBP HT VBZ PRP DT NN IN . VB USR CC HT IN HT . HT HT","","-1.5"
"reasons to donate pc party , progressive canadian party - today : veteran's affairs … tt.token url","NNS TO VB NNP NNP , JJ NNP NNP : NN : NNP NNP : HT URL","","3.5"
"tt.token / usr is solar ; 2day , volunteering 4 omar/ . usr tt.token tt.token tt.token tt.token","HT : USR VBZ JJ : NN , VBG IN NNP . USR HT HT HT HT","","5.0"
"amazing usr introduces usr . so cool that both also have women campaign managers ! tt.token tt.token","JJ USR VBZ USR . RB JJ IN DT RB VB NN NN NNS . HT HT","","5.0"
"jack welch : only 2 words matter for leaders : truth & trust tt.token","NNP NNP : RB CD NNS NNP IN NNS : NN CC VBP HT","","5.0"
"larry koopman will vote 2015 because we must preserve our democracy ! tt.token tt.token tt.token tt.token","NNP NNP MD VB CD IN PRP MD VB PRP$ NN . HT HT HT HT","","3.5"
"we need 2400 users in tt.token . you can be one of the first : - tt.token tt.token tt.token url","PRP VBP CD NNS IN HT . PRP MD VB CD IN DT JJ : : HT HT HT URL","","5.0"
"the economy isn't working for canadians . it's time for a change in direction . tt.token tt.token tt.token","DT NN VBD VBG IN NNP . PRP NN IN DT NN IN NN . HT HT HT","","0.0"
"growing the economy requires a strong team . the depth of experience of the tt.token is incredible & unmatched . tt.token","VBG DT NN VBZ DT JJ NN . DT NN IN NN IN DT HT VBZ JJ CC JJ . HT","","2.0"
"powerful new attack ad by usr looking for funding to air on tv … tt.token tt.token url","JJ JJ NN NN IN USR VBG IN NN TO VB IN NNP : HT HT URL","","2.0"
"integrity matters : social contract w canada must be honoured – progressive canadians tt.token url","NN VBZ : NNP NNP NNP NNP MD VB VBN : JJ NNS HT URL","","5.0"
"pcparty hon sinclair stevens former progressive conservative pm joe clark on refugees tt.token url","NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP IN NNS HT URL","","2.0"
"trudeau's first economic move if he were pm , call for a first ministers meeting on climate change . tt.token tt.token","NNP JJ JJ NN IN PRP VBD NNP , VB IN DT JJ NNS VBG IN NN NN . HT HT","","0.0"
"prosperity canada - pc party seven pillars for bringing prosperity to canada tt.token url","NNP NNP : NNP NNP CD NNS IN VBG NN TO NNP HT URL","","3.5"
"the delusions of david frum's mind — canada's prodigal republican son : tt.token tt.token tt.token url","DT NNS IN NNP VBZ NNP NNP NNP NNP NNP NNP : HT HT HT URL","","2.0"
"post rally ice cream stop with the tt.token team ! thanks for the delicious ice cream usr ! tt.token tt.token","NN NN NN NN NN IN DT HT NN . NNS IN DT JJ NN NN USR . HT HT","","5.0"
"who led defending canadians rights & freedoms ? usr spoke out when no other pol would tt.token tt.token tt.token","WP VBD VBG NNP NNP CC NNS . USR VBD RP WRB DT JJ NNP MD HT HT HT","","2.0"
"harper calls on vets for support staff doesn't read the whole email tt.token tt.token","NNP VBZ IN NNS IN NN NN NN VB DT JJ NN HT HT","","-1.5"
"katha fortier will vote in 2015 because she wants our canada back ! tt.token tt.token tt.token","NNP NNP MD VB IN CD IN PRP VBZ PRP$ NNP RB . HT HT HT","","3.5"
"you live by the surveillance state , you die by the surveillance state tt.token tt.token","PRP VBP IN DT NN NN , PRP VBP IN DT NN NN HT HT","","0.0"
"laura weston , ndp candidate for midnapore calgary usr exciting ! ! tt.token tt.token tt.token tt.token tt.token","NNP NNP , NNP NNP IN NNP NNP USR JJ . . HT HT HT HT HT","","2.0"
"perhaps conservatives should have harper stay in ottawa , spending more time with the family . tt.token tt.token","RB NNS MD VB NNP VB IN NNP , VBG RBR NN IN DT NN . HT HT","","0.0"
"tt.token are in the lead ! tt.token tt.token tt.token tt.token tt.token tt.token tt.token tt.token tt.token","HT VBP IN DT NN . HT HT HT HT HT HT HT HT HT","","-1.5"
"wind destroys flimsy tt.token signs at 78th & king george but one strong one remains ! usr tt.token","NN VBZ JJ HT NNS IN CD CC NNP NNP CC CD JJ CD VBZ . USR HT","","3.5"
"want to ask an tt.token candidate a question ? tt.token tt.token url","VBP TO VB DT HT NN DT NN . HT HT URL","","5.0"
"usr just launched tt.token federal tt.token topic . take the poll and join the discussion url","USR RB VBD HT JJ HT NN . VB DT NN CC VB DT NN URL","","0.0"
"much lpc ndp do do about nothin : ) tt.token tt.token","RB NNP NNP VBP VB IN NN : -RRB- HT HT","","2.0"
"usr announcing usr plan for improving canada's health care- tt.token tt.token","USR VBG USR NN IN VBG NNP NNP NNP HT HT","","2.0"
"gun registry & usr ... another : will he or won't he ? tt.token tt.token tt.token tt.token","NNP NNP CC USR : DT : MD PRP CC MD PRP . HT HT HT HT","","-1.5"
"harper policies cut manufacturing from 18% of cda's economy in 2000 to 10% tt.token tt.token url","NNP NNS VB NNP IN CD IN NNP NNP IN CD TO CD HT HT URL","","3.5"
"usr yes , yes there is ! tt.token for usr tt.token tt.token","USR UH , UH EX VBZ . HT IN USR HT HT","","3.5"
". usr why is your sign on my lawn ? we didn't request this . usr tt.token tt.token",". USR WRB VBZ PRP$ NN IN PRP$ NN . PRP VBP VB DT . USR HT HT","","0.0"
"tt.token official email intern tt.token tt.token tt.token tt.token","HT JJ NN NN HT HT HT HT","","2.0"
"orange wave rolled into vancouver today . tt.token tt.token tt.token tt.token tt.token","NNP NN VBD IN NNP NN . HT HT HT HT HT","","2.0"
"didn't follow tt.token last week ? check out our hatley report for everything you need to know url","MD VB HT JJ NN . VB RP PRP$ NNP NNP IN NN PRP VBP TO VB URL","","5.0"
"any federal party that would [ a ] roll-back tt.token , [ b ] build infrastructure via deficits & [ c ] win a majority ? tt.token","DT NNP NNP WDT MD VB DT : VB HT , -LRB- VB : VB NN IN NNS CC : NNP : VB DT NN . HT","","3.5"
"he will vote in 2015 because he wants his canada back ! tt.token tt.token tt.token tt.token","PRP MD VB IN CD IN PRP VBZ PRP$ NNP RB . HT HT HT HT","","3.5"
". usr on 6/21 , i ran the 47km tt.token - tt.token city riding boundary ? ? does that count ? tt.token tt.token",". USR IN NNP , PRP VBD DT NN HT : HT NN NN NN . . VBZ DT NN . HT HT","","3.5"
"usr hints @ apology . not attending usr debate & tt.token electors . tt.token tt.token tt.token","USR NNS IN NN . RB VBG USR NN CC HT NNS . HT HT HT","","5.0"
"meet the harper team tt.token tt.token tt.token tt.token tt.token tt.token url","VB DT NNP NNP HT HT HT HT HT HT URL","","3.5"
"met hon . usr after hearing usr announce faster professional certification 4 new canadians ! tt.token","VBD NNP . USR IN VBG USR VB JJR JJ NN CD JJ NNS . HT","","0.0"
"brilliant cat , that . tt.token","JJ NN , DT . HT","","2.0"
"everyone is hyped for usr in tt.token ! tt.token ! tt.token tt.token","NN VBZ JJ IN USR IN HT . HT . HT HT","","5.0"
"here's tom trying to convince canadians that socialism isn't socialism ... tt.token tt.token","RB NNP VBG TO VB NNS DT NN VBZ NN : HT HT","","3.5"
"c’mon , wake up rest of canada and come play on tt.token ( nobody west of ontario ) url .","UH , VB RP NN IN NNP CC VB VB IN HT -LRB- NN JJ IN NNP -RRB- URL .","","5.0"
"we're talking tt.token , and j couldn't be happier . proud of usr and the tt.token . tt.token tt.token","PRP VBG HT , CC NNP MD VB JJR . JJ IN USR CC DT HT . HT HT","","3.5"
"trudeau & mulcair using tragidy of a dead child as a political tool : tt.token tt.token tt.token url","NNP CC NNP VBG NNP IN DT NNP NNP IN DT JJ NN : HT HT HT URL","","-1.5"
"canada , at this time in history usr tt.token tt.token","NNP , IN DT NN IN NN USR HT HT","","0.0"
"have reporters asked trudeau about china's recent economic performance ? i recall him being fond of china . tt.token","VB NNS VBD NNP IN NNP JJ JJ NN . PRP VBP PRP VBG JJ IN NNP . HT","","-1.5"
". usr makes another pointless promise & tt.token new nothing tt.token tt.token",". USR VBZ DT JJ NN CC HT JJ NN HT HT","","-5.0"
"support organizations like usr that call for evidence informed policies on drugs . tt.token tt.token","NNP NNS IN USR WDT VB IN NN VBD NNS IN NNS . HT HT","","3.5"
"usr these many yrs of fed'l hsg ministers that didn't launch a nat'l hsg program . tt.token tt.token","USR DT JJ NNS IN NN NN NNS IN VBD VB DT NN NN NN . HT HT","","2.0"
"senior conservatives buy into `` fact `` pulled from nether region by serial fantasist . tt.token tt.token","JJ NNS VBP IN `` NN `` VBN IN NN NN IN JJ NN . HT HT","","3.5"
"local dark horse gets in on the tt.token game , if only the voting process was as easy as buying a coffee tt.token","JJ NNP NNP VBZ IN IN DT HT NN , IN RB DT NN NN VBD IN JJ IN VBG DT NN HT","","-1.5"
"usr why would you say something so derogatory ? tt.token tt.token tt.token tt.token tt.token","USR WRB MD PRP VBP NN RB JJ . HT HT HT HT HT","","2.0"
"usr tt.token tt.token yukoners `` are lucky to have the baddest of badass mps representing them go get em ryan !","USR HT HT NNP `` VBP JJ TO VB DT JJS IN JJ NNS VBG PRP VBP VB PRP NNP .","","0.0"
"hey usr , i thought you weren't going to pander to the politics of fear and divisiveness ? tt.token","UH USR , PRP VBD PRP VBD VBG TO VB TO DT NNS IN NN CC NN . HT","","2.0"
"just a tt.token ! ! tt.token tt.token tt.token usr","RB DT HT . . HT HT HT USR","","-5.0"
"tt.token tt.token how usr learned to dodge questions tt.token","HT HT WRB USR VBN TO VB NNS HT","","-1.5"
"ray novak may have been tt.token but usr was tt.token by usr tt.token tt.token","NNP NNP MD VB VBN HT CC USR VBD HT IN USR HT HT","","2.0"
". usr usr re tt.token - we need to stop the creep ( of degradation of civil liberties ) tt.token tt.token",". USR USR NN HT : PRP VBP TO VB DT NN -LRB- IN NN IN JJ NNS -RRB- HT HT","","2.0"
"rona ambrose and laureen harper speak at a gathering this morning in stony plain , alta . tt.token usr","NNP NNP CC NNP NNP VB IN DT NN DT NN IN NNP NNP , NNP . HT USR","","3.5"
"ready for the roundtable discussion today in tt.token . tt.token tt.token","JJ IN DT NN NN NN IN HT . HT HT","","3.5"
"got the coolest button today , thanks usr ! only 42 days left ! tt.token","VBD DT JJS NN NN , UH USR . RB CD NNS VBD . HT","","5.0"
"harper conservatives and the environment , a strategy with no end . tt.token tt.token","NNP NNS CC DT NN , DT NN IN DT NN . HT HT","","-1.5"
"look at the trash talking usr in 2004 . not an honorable bone in his body in 2015 though . tt.token tt.token","VB IN DT NN VBG USR IN CD . RB DT JJ NN IN PRP$ NN IN CD RB . HT HT","","0.0"
"do not understand why tt.token keeps using this cheesy imagery . how do boxing & prime-ministership correspond ? tt.token","VB RB VB WRB HT VBZ VBG DT JJ NN . WRB VBP NN CC JJ NN . HT","","-5.0"
"my apartment window in mississauga looking proper tt.token tt.token tt.token","PRP$ NN NN IN NNP VBG JJ HT HT HT","","3.5"
"election most important for sask . economy `` in a generation `` : expert tt.token tt.token tt.token url","NN JJS JJ IN NNP . NN `` IN DT NN `` : NN HT HT HT URL","","2.0"
"great crowds usr tt.token tt.token not sure where it is ..","JJ NNS USR HT HT RB JJ WRB PRP VBZ :","","2.0"
". usr column : harper's refugee crisis response is hampering his campaign tt.token url",". USR NN : NNP NN NN NN VBZ VBG PRP$ NN HT URL","","3.5"
"canadian politics is so much fun . tt.token tt.token","JJ NN VBZ RB JJ JJ . HT HT","","5.0"
"why am i part of tt.token ? bc usr cares about tt.token for students across canada ! tt.token","WRB VBP PRP NN IN HT . IN USR VBZ IN HT IN NNS IN NNP . HT","","3.5"
"liberals offering retirement security for seniors tt.token tt.token tt.token tt.token url","NNS VBG NN NN IN NNS HT HT HT HT URL","","5.0"
"transfers make great incentives tt.token tt.token","NNS VB JJ NNS HT HT","","5.0"
"recycle bin is too good for this trash . straight to the garbage can , usr . tt.token tt.token","VB NN VBZ RB JJ IN DT NN . JJ TO DT NN MD , USR . HT HT","","5.0"
"this wee guy didn't pee on my porch . afaik . tt.token tt.token tt.token","DT JJ NN VBD VB IN PRP$ NN . NNP . HT HT HT","","-5.0"
"canada's harsh `` austerity `` policies started with paul martin & the liberals : tt.token tt.token url","NNP NNP `` NNP `` NNS VBD IN NNP NNP CC DT NNS : HT HT URL","","2.0"
"usr i'm walking across tt.token raising awareness for tt.token tt.token . need it on tt.token agenda","USR PRP VBG IN HT VBG NNS IN HT HT . VBP PRP IN HT NN","","5.0"
"nurses vote ! tt.token tt.token platform . yes to tt.token tt.token url","NNS VBP . HT HT NN . UH TO HT HT URL","","3.5"
"another ... cdn media guild : how to champion public broadcasting during the election | tt.token url","DT : NNP NNP NNP : WRB TO NNP NNP NNP IN DT NN : HT URL","","3.5"
"ndp's usr up now , talking about lack of affordable housing and poverty . tt.token tt.token tt.token","NNP USR RP RB , VBG IN NN IN JJ NN CC NN . HT HT HT","","5.0"
"my folks have their usr sign up for tt.token south centre ! usr tt.token","PRP$ NNS VBP PRP$ USR NN RP IN HT NNP NNP . USR HT","","5.0"
"saw this walking about today . tories be feeling the love in tt.token ! tt.token tt.token tt.token tt.token","VBD DT VBG IN NN . NNS VB VBG DT NN IN HT . HT HT HT HT","","2.0"
"here's last week's tt.token hatley report ! sign up on our website to receive it earlier . tt.token url","RB JJ NNS HT NNP NNP . VB RP IN PRP$ NN TO VB PRP RBR . HT URL","","2.0"
"today's editorial : at tt.token midpoint , we're on track toward a minority gov't url","NNP NN : IN HT NN , VBD IN NN IN DT NN NN URL","","3.5"
"harper and accountability then and now tt.token tt.token","NNP CC NNP RB CC RB HT HT","","2.0"
"my run-down of each federal political party in canada , as l see them . tt.token tt.token","PRP$ JJ IN DT JJ JJ NN IN NNP , IN NN VB PRP . HT HT","","0.0"
"just arrived for a night of fun & conversation with constituents ? ? ? ? ? ? tt.token tt.token tt.token","RB VBD IN DT NN IN JJ CC NN IN NNS . . . . . . HT HT HT","","5.0"
"tt.token bcuz if harper had his way he would cancel labour day ! tt.token tt.token tt.token","HT IN IN NNP VBD PRP$ NN PRP MD VB NNP NNP . HT HT HT","","2.0"
"it is 46 days , 9 hours , 17 minutes until tt.token","PRP VBZ CD NNS , CD NNS , CD NNS IN HT","","-1.5"
"um , this is scary . tt.token tt.token url","UH , DT VBZ JJ . HT HT URL","","-1.5"
"tt.token poach cpc talking points . i call `` copyright infringement `` . at least try to be original . tt.token tt.token tt.token","HT NN NNP VBG NNS . PRP VBP `` NN NN `` . IN JJS VB TO VB JJ . HT HT HT","","2.0"
"the new conservative morality . tt.token tt.token url","DT JJ JJ NN . HT HT URL","","2.0"
"canada way down at 62 per gdp spent on education we need to invest in future tt.token tt.token url","NNP NNP IN IN CD IN NNP VBD IN NN PRP VBP TO VB IN NN HT HT URL","","3.5"
"mylene freeman supports via tt.token tt.token tt.token","NNP NNP VBZ NNP HT HT HT","","2.0"
"con candidates can't attend all candidates debates , talk to media ! democracy ? tt.token tt.token url","NNP NNS MD VB DT NNS NNS , VB TO NNP . NNP . HT HT URL","","5.0"
"in between calls , sign blitz , canvassing , team usr is out in massive force today ! tt.token tt.token","IN IN VBZ , NN NN , NN , NN USR VBZ RP IN JJ NN NN . HT HT","","3.5"
"you can use to see changing policy positions on still relevant issues . tt.token url","PRP MD VB TO VB VBG NN NNS IN RB JJ NNS . HT URL","","2.0"
"bruce springsteen with usr ! the coolest mp tt.token tt.token tt.token","NNP NNP IN USR . DT JJS NNP HT HT HT","","3.5"
"usr gets thumbs down at tt.token booth usr in tt.token . usr usr tt.token tt.token","USR VBZ NNS RP IN HT NN USR IN HT . USR USR HT HT","","2.0"
"usr the only choice for a stronger economy and a safer canada tt.token tt.token tt.token usr","USR DT JJ NN IN DT JJR NNP CC DT NNP NNP HT HT HT USR","","5.0"
"`` usr : scientist put on leave over harperman song tt.token tt.token `` kettle `` all protest ! url","`` USR : NN VB IN VB IN NNP NN HT HT `` NN `` DT NN . URL","","-1.5"
"campaign journal excerpt from @pmharper's new tt.token issues manager . tt.token tt.token tt.token","NN NN NN IN VBZ JJ HT NNS NN . HT HT HT","","3.5"
"pay attention to who's engaging w tt.token ntns between elxns b/c that shows true willingness . see attach : tt.token","VB NN TO VB JJ IN HT NNS IN VBZ IN DT VBZ JJ NN . VB VB : HT","","3.5"
"huge fan girl moment as i chatted w/ former prime minister , paul martin 2day . tt.token tt.token tt.token tt.token","JJ NN NN NN IN PRP VBD IN NNP NN NN , NNP NNP NN . HT HT HT HT","","3.5"
"usr usr calls loan sharks , friends . tt.token tt.token tt.token","USR USR VBZ NN NN , NNS . HT HT HT","","2.0"
"ouch ! painful to see tt.token as backdrop for . usr usr tt.token url","UH . JJ TO VB HT IN NN IN . USR USR HT URL","","-1.5"
"conservative party of canada , the place for men with convictions . tt.token tt.token","JJ NN IN NNP , DT NN IN NN IN NNS . HT HT","","-1.5"
"a great night to meet the residents in deer run ! tt.token tt.token tt.token","DT JJ NN TO VB DT NNS IN NNP NNP . HT HT HT","","5.0"
"message to earthlings . rainbow followed . ends at tt.token sign in tt.token , tt.token . green is the new gold . tt.token","NN TO NNS . NNP VBD . VBZ IN HT NN IN HT , HT . NN VBZ DT JJ NN . HT","","2.0"
"angry tt.token resident reminded local candidate to ask first before putting sign up tt.token tt.token tt.token","JJ HT NN VBD JJ NN TO VB JJ IN VBG NN RP HT HT HT","","-1.5"
"waiting for tt.token at tt.token rally in tt.token tt.token tt.token","VBG IN HT IN HT NN IN HT HT HT","","2.0"
". usr know what gets me angry ? no talk of tt.token , primarily tt.token in tt.token help me fix that !",". USR VB WP VBZ PRP JJ . DT NN IN HT , RB HT IN HT VB PRP VBP DT .","","5.0"
"canvassedwaterloo area yesterday . people so sick of the cons . my job to tell them about usr tt.token","NNP NNP NN . NNS RB JJ IN DT NNS . PRP$ NN TO VB PRP IN USR HT","","5.0"
"plans coming in `` very near future `` to help tt.token : stephen harper tt.token tt.token url","NNS VBG IN `` RB IN NN `` TO VB HT : NNP NNP HT HT URL","","5.0"
"tt.token - regardless of pension issues , we shouldn't pull out of syria . stand by our troops in the tt.token","HT : RB IN NN NNS , PRP VBP VB IN IN NNP . VBP IN PRP$ NNS IN DT HT","","2.0"
"michelle jean renounced her french citizenship before becoming gov-gen tt.token tt.token tt.token tt.token tt.token","NNP NNP VBD PRP$ NNP NN IN VBG NNP HT HT HT HT HT","","2.0"
". usr `` please elect me so we can stop ( economy roller coaster ) ... must diversify . `` tt.token tt.token",". USR `` UH VB PRP RB PRP MD VB -LRB- NN NN NN -RRB- : MD VB . `` HT HT","","3.5"
"harper tax cuts & credits tt.token tt.token","NNP NN NNS CC NNS HT HT","","-1.5"
"timely art exhibition in ottawa this october : … … … … … tt.token tt.token tt.token tt.token url","JJ NNP NNP IN NNP DT NNP : UH UH UH UH UH HT HT HT HT URL","","2.0"
"great group shot from yesterday's usr in tt.token ! tt.token tt.token tt.token tt.token tt.token","JJ NN NN IN NNS USR IN HT . HT HT HT HT HT","","5.0"
"remember this ? tt.token tt.token tt.token tt.token tt.token on isis","VB DT . HT HT HT HT HT IN NNP","","-5.0"
"ron planche and justin trudeau at the infrastructure rally today . to learn more go to tt.token url","NNP NNP CC NNP NNP IN DT NN NN NN . TO VB RBR VB TO HT URL","","0.0"
"neb monitors media yet admits the board is not privy to this information . tt.token tt.token url","NNP NNS NN RB VBZ DT NN VBZ RB JJ TO DT NN . HT HT URL","","3.5"
"here's a clue ... tt.token as the tt.token record of failure clearly indicates usr","RB DT NN : HT IN DT HT NN IN NN RB VBZ USR","","-1.5"
"my mom & campaign volunteers watch my cbc skype interview fm the campaign office - thanks tt.token &friends in tt.token","PRP$ NN CC NN NNS VBP PRP$ NNP NNP NN NN DT NN NN : UH HT NNS IN HT","","5.0"
"rev usr is the progressive canadian candidate in tt.token tt.token . tt.token url","NNP USR VBZ DT JJ JJ NN IN HT HT . HT URL","","2.0"
"october 19 is accountability day . tt.token tt.token url","NNP CD VBZ NN NN . HT HT URL","","2.0"
"fast promises on slow internet in the north tt.token tt.token tt.token tt.token tt.token url","RB VBZ IN JJ NN IN DT NNP HT HT HT HT HT URL","","-1.5"
"welfare rates comparison in bc . one up 122% since 2007 . the other up 0% since 2007 . tt.token tt.token tt.token","NN NNS NN IN NNP . CD RP CD IN CD . DT JJ IN CD IN CD . HT HT HT","","-1.5"
"wait ! i thought we were boycotting tims ! ! ! ! ! ! ! ! ! ! ! what is stephen harper doing ? ? ? ? tt.token tt.token","UH . PRP VBD PRP VBD VBG NNP . . . . . . . . . . . WP VBZ NNP NNP VBG . . . . HT HT","","2.0"
"glad tt.token & tt.token `` strongly agree `` tt.token ntns should have more ctrl tt.token tt.token tt.token","JJ HT CC HT `` RB VBP `` HT NNS MD VB RBR NNP HT HT HT","","2.0"
"stop mulcair ! tt.token tt.token","VB NNP . HT HT","","-5.0"
"usr usr dumb meets dumber tt.token tt.token","USR USR JJ VBZ JJR HT HT","","3.5"
"will this sign influence two elections this fall ? tt.token tt.token tt.token tt.token tt.token url","MD DT NN NN CD NNS DT NN . HT HT HT HT HT URL","","-1.5"
"my favourite sign location this week for obvious reasons tt.token tt.token usr usr","PRP$ NN NN NN DT NN IN JJ NNS HT HT USR USR","","3.5"
"tt.token tt.token read @janephilpott's latest blog `` a letter to my patients `` tt.token tt.token url","HT HT VB VBZ JJ NN `` DT NN TO PRP$ NNS `` HT HT URL","","2.0"
"pm harper on justin , tom and isis tt.token tt.token","NNP NNP IN NNP , NNP CC NNP HT HT","","-1.5"
"bombing campaigns turn innocents into refugees . canadians send humanitarian message to usr . tt.token tt.token","NN NNS VBP NNS IN NNS . NNS VB JJ NN TO USR . HT HT","","-5.0"
"usr continues to offer excuses for missing usr `` tt.token friday . tt.token tt.token tt.token","USR VBZ TO VB NNS IN VBG USR `` HT NNP . HT HT HT","","-1.5"
"good to go tt.token","JJ TO VB HT","","5.0"
"defence platforms > usr tt.token via usr url","NNP NNP : USR HT IN USR URL","","2.0"
"pre-debate photo op . one of these men will be the next prime minister of canada tt.token","NN NN NN . CD IN DT NN MD VB DT JJ NN NN IN NNP HT","","5.0"
"some of the youth on our regular tuesday with rob in tt.token tt.token tt.token","DT IN DT NN IN PRP$ JJ NNP IN NNP IN HT HT HT","","5.0"
